sentence,page,topic,similarity
"Morningstar の名前、インデックス名、およびロゴは、
害の可能性について認識していたとしても、いかなる責任も負わないものとします。",16,水の汚染,0.3254
"Morningstar の名前、インデックス名、およびロゴは、
害の可能性について認識していたとしても、いかなる責任も負わないものとします。",16,生物および食料資源の汚染,0.3492
"Morningstar の名前、インデックス名、およびロゴは、
害の可能性について認識していたとしても、いかなる責任も負わないものとします。",16,絶滅リスク,0.3419
"Morningstar の名前、インデックス名、およびロゴは、
害の可能性について認識していたとしても、いかなる責任も負わないものとします。",16,健康と安全,0.3844
"Morningstar の名前、インデックス名、およびロゴは、
害の可能性について認識していたとしても、いかなる責任も負わないものとします。",16,平等と機会,0.3324
"Morningstar の名前、インデックス名、およびロゴは、
Morningstar, Inc の商標またはサービス マークです。",16,エネルギー,0.3117
"Morningstar の名前、インデックス名、およびロゴは、
Morningstar, Inc の商標またはサービス マークです。",16,生物および食料資源の汚染,0.3123
"Morningstar の名前、インデックス名、およびロゴは、
Morningstar, Inc の商標またはサービス マークです。",16,健康と安全,0.3696
"Morningstar の名前、インデックス名、およびロゴは、
Morningstar, Inc の商標またはサービス マークです。",16,平等と機会,0.3157
"Morningstar, Inc の商標またはサービス マークです。",16,生物および食料資源の汚染,0.3012
"Morningstar, Inc の商標またはサービス マークです。",16,健康と安全,0.3421
"MSCI およ
び MSCI インデックスの名称とロゴは、MSCI またはその関連会社の商標またはサービスマークです。",17,生物および食料資源の汚染,0.3535
"MSCI およ
び MSCI インデックスの名称とロゴは、MSCI またはその関連会社の商標またはサービスマークです。",17,水の消費と取水,0.3284
"MSCI およ
び MSCI インデックスの名称とロゴは、MSCI またはその関連会社の商標またはサービスマークです。",17,健康と安全,0.4219
"MSCI およ
び MSCI インデックスの名称とロゴは、MSCI またはその関連会社の商標またはサービスマークです。",17,平等と機会,0.349
"Morningstar の名前、インデックス名、およびロゴは、
Morningstar, Inc の商標またはサービス マークです。",17,エネルギー,0.3117
"Morningstar の名前、インデックス名、およびロゴは、
Morningstar, Inc の商標またはサービス マークです。",17,生物および食料資源の汚染,0.3123
"Morningstar の名前、インデックス名、およびロゴは、
Morningstar, Inc の商標またはサービス マークです。",17,健康と安全,0.3696
"Morningstar の名前、インデックス名、およびロゴは、
Morningstar, Inc の商標またはサービス マークです。",17,平等と機会,0.3157
"MSCI およ
び MSCI インデックスの名称とロゴは、MSCI またはその関連会社の商標またはサービスマークです。",18,生物および食料資源の汚染,0.3535
"MSCI およ
び MSCI インデックスの名称とロゴは、MSCI またはその関連会社の商標またはサービスマークです。",18,水の消費と取水,0.3284
"MSCI およ
び MSCI インデックスの名称とロゴは、MSCI またはその関連会社の商標またはサービスマークです。",18,健康と安全,0.4219
"MSCI およ
び MSCI インデックスの名称とロゴは、MSCI またはその関連会社の商標またはサービスマークです。",18,平等と機会,0.349
"Morningstar の名前、インデックス名、およびロゴは、
Morningstar, Inc の商標またはサービス マークです。",18,エネルギー,0.3117
"Morningstar の名前、インデックス名、およびロゴは、
Morningstar, Inc の商標またはサービス マークです。",18,生物および食料資源の汚染,0.3123
"Morningstar の名前、インデックス名、およびロゴは、
Morningstar, Inc の商標またはサービス マークです。",18,健康と安全,0.3696
"Morningstar の名前、インデックス名、およびロゴは、
Morningstar, Inc の商標またはサービス マークです。",18,平等と機会,0.3157
"*1Task Force on Climate-related Financial Disclosures 気候関連財務情報開示タスクフォース
詳細は「環境」をご覧ください。",19,気候変動,0.3105
"*1Task Force on Climate-related Financial Disclosures 気候関連財務情報開示タスクフォース
詳細は「環境」をご覧ください。",19,気候変動への適応,0.3793
"FTSE Blossom Japan Sector Relative Indexはサステナ
び MSCI インデックスの名称とロゴは、MSCI またはその関連会社の商標またはサービスマークです。",19,健康と安全,0.335
"FTSE Blossom Japan Sector Relative Indexはサステナ
び MSCI インデックスの名称とロゴは、MSCI またはその関連会社の商標またはサービスマークです。",19,平等と機会,0.311
"前述のいずれにも制限することなく、いかなる場合においても、Morningstar またはその第三者のコンテンツプロバイダー
でもありません。",19,生物および食料資源の汚染,0.3466
"Morningstar の名前、インデックス名、およびロゴは、
Morningstar, Inc の商標またはサービス マークです。",19,エネルギー,0.3117
"Morningstar の名前、インデックス名、およびロゴは、
Morningstar, Inc の商標またはサービス マークです。",19,生物および食料資源の汚染,0.3123
"Morningstar の名前、インデックス名、およびロゴは、
Morningstar, Inc の商標またはサービス マークです。",19,健康と安全,0.3696
"Morningstar の名前、インデックス名、およびロゴは、
Morningstar, Inc の商標またはサービス マークです。",19,平等と機会,0.3157
"MSCI およ
び MSCI インデックスの名称とロゴは、MSCI またはその関連会社の商標またはサービスマークです。",20,生物および食料資源の汚染,0.3535
"MSCI およ
び MSCI インデックスの名称とロゴは、MSCI またはその関連会社の商標またはサービスマークです。",20,水の消費と取水,0.3284
"MSCI およ
び MSCI インデックスの名称とロゴは、MSCI またはその関連会社の商標またはサービスマークです。",20,健康と安全,0.4219
"MSCI およ
び MSCI インデックスの名称とロゴは、MSCI またはその関連会社の商標またはサービスマークです。",20,平等と機会,0.349
"Morningstar の名前、インデックス名、およびロゴは、
Morningstar, Inc の商標またはサービス マークです。",20,エネルギー,0.3117
"Morningstar の名前、インデックス名、およびロゴは、
Morningstar, Inc の商標またはサービス マークです。",20,生物および食料資源の汚染,0.3123
"Morningstar の名前、インデックス名、およびロゴは、
Morningstar, Inc の商標またはサービス マークです。",20,健康と安全,0.3696
"Morningstar の名前、インデックス名、およびロゴは、
Morningstar, Inc の商標またはサービス マークです。",20,平等と機会,0.3157
"MSCI およ
び MSCI インデックスの名称とロゴは、MSCI またはその関連会社の商標またはサービスマークです。",21,生物および食料資源の汚染,0.3535
"MSCI およ
び MSCI インデックスの名称とロゴは、MSCI またはその関連会社の商標またはサービスマークです。",21,水の消費と取水,0.3284
"MSCI およ
び MSCI インデックスの名称とロゴは、MSCI またはその関連会社の商標またはサービスマークです。",21,健康と安全,0.4219
"MSCI およ
び MSCI インデックスの名称とロゴは、MSCI またはその関連会社の商標またはサービスマークです。",21,平等と機会,0.349
"Morningstar の名前、インデックス名、およびロゴは、
Morningstar, Inc の商標またはサービス マークです。",21,エネルギー,0.3117
"Morningstar の名前、インデックス名、およびロゴは、
Morningstar, Inc の商標またはサービス マークです。",21,生物および食料資源の汚染,0.3123
"Morningstar の名前、インデックス名、およびロゴは、
Morningstar, Inc の商標またはサービス マークです。",21,健康と安全,0.3696
"Morningstar の名前、インデックス名、およびロゴは、
Morningstar, Inc の商標またはサービス マークです。",21,平等と機会,0.3157
※2 上記は2024年度から 2026年度の 3 事業年度の目標値です。,42,生物および食料資源の汚染,0.3048
※2 上記は2024年度から 2026年度の 3 事業年度の目標値です。,43,生物および食料資源の汚染,0.3048
※2 上記は2024年度から 2026年度の 3 事業年度の目標値です。,44,生物および食料資源の汚染,0.3048
※2 上記は2024年度から 2026年度の 3 事業年度の目標値です。,45,生物および食料資源の汚染,0.3048
※2 上記は2024年度から 2026年度の 3 事業年度の目標値です。,46,生物および食料資源の汚染,0.3048
"2. 環境に関する各国‧各地域の法令を遵守し、製品開発‧製造‧販売など、あらゆる事業活動において環境負荷を継
続的に低減します。",49,気候変動への適応,0.3565
"2. 環境に関する各国‧各地域の法令を遵守し、製品開発‧製造‧販売など、あらゆる事業活動において環境負荷を継
続的に低減します。",49,気候変動の緩和,0.3198
"2. 環境に関する各国‧各地域の法令を遵守し、製品開発‧製造‧販売など、あらゆる事業活動において環境負荷を継
続的に低減します。",49,空気の汚染,0.3078
"2. 環境に関する各国‧各地域の法令を遵守し、製品開発‧製造‧販売など、あらゆる事業活動において環境負荷を継
続的に低減します。",49,水の汚染,0.3455
"2. 環境に関する各国‧各地域の法令を遵守し、製品開発‧製造‧販売など、あらゆる事業活動において環境負荷を継
続的に低減します。",49,生物および食料資源の汚染,0.3447
"2. 環境に関する各国‧各地域の法令を遵守し、製品開発‧製造‧販売など、あらゆる事業活動において環境負荷を継
続的に低減します。",49,水の消費と取水,0.3102
"2. 環境に関する各国‧各地域の法令を遵守し、製品開発‧製造‧販売など、あらゆる事業活動において環境負荷を継
続的に低減します。",49,健康と安全,0.3411
"4. 社員全員が、環境に対する意識と責任をもって、地球温暖化防止、循環型社会の促進などの取り組みを継続的に推
進します。",49,気候変動への適応,0.3513
"4. 社員全員が、環境に対する意識と責任をもって、地球温暖化防止、循環型社会の促進などの取り組みを継続的に推
進します。",49,空気の汚染,0.3046
"4. 社員全員が、環境に対する意識と責任をもって、地球温暖化防止、循環型社会の促進などの取り組みを継続的に推
進します。",49,循環経済,0.3637
"4. 社員全員が、環境に対する意識と責任をもって、地球温暖化防止、循環型社会の促進などの取り組みを継続的に推
進します。",49,健康と安全,0.3713
"4. 社員全員が、環境に対する意識と責任をもって、地球温暖化防止、循環型社会の促進などの取り組みを継続的に推
進します。",49,児童労働,0.3128
"2. 環境に関する各国‧各地域の法令を遵守し、製品開発‧製造‧販売など、あらゆる事業活動において環境負荷を継
続的に低減します。",50,気候変動への適応,0.3565
"2. 環境に関する各国‧各地域の法令を遵守し、製品開発‧製造‧販売など、あらゆる事業活動において環境負荷を継
続的に低減します。",50,気候変動の緩和,0.3198
"2. 環境に関する各国‧各地域の法令を遵守し、製品開発‧製造‧販売など、あらゆる事業活動において環境負荷を継
続的に低減します。",50,空気の汚染,0.3078
"2. 環境に関する各国‧各地域の法令を遵守し、製品開発‧製造‧販売など、あらゆる事業活動において環境負荷を継
続的に低減します。",50,水の汚染,0.3455
"2. 環境に関する各国‧各地域の法令を遵守し、製品開発‧製造‧販売など、あらゆる事業活動において環境負荷を継
続的に低減します。",50,生物および食料資源の汚染,0.3447
"2. 環境に関する各国‧各地域の法令を遵守し、製品開発‧製造‧販売など、あらゆる事業活動において環境負荷を継
続的に低減します。",50,水の消費と取水,0.3102
"2. 環境に関する各国‧各地域の法令を遵守し、製品開発‧製造‧販売など、あらゆる事業活動において環境負荷を継
続的に低減します。",50,健康と安全,0.3411
"4. 社員全員が、環境に対する意識と責任をもって、地球温暖化防止、循環型社会の促進などの取り組みを継続的に推
進します。",50,気候変動への適応,0.3513
"4. 社員全員が、環境に対する意識と責任をもって、地球温暖化防止、循環型社会の促進などの取り組みを継続的に推
進します。",50,空気の汚染,0.3046
"4. 社員全員が、環境に対する意識と責任をもって、地球温暖化防止、循環型社会の促進などの取り組みを継続的に推
進します。",50,循環経済,0.3637
"4. 社員全員が、環境に対する意識と責任をもって、地球温暖化防止、循環型社会の促進などの取り組みを継続的に推
進します。",50,健康と安全,0.3713
"4. 社員全員が、環境に対する意識と責任をもって、地球温暖化防止、循環型社会の促進などの取り組みを継続的に推
進します。",50,児童労働,0.3128
"また、2023年2月に企業が事業活動で消費する電力を 100％再生可能エネルギーで
100％再生可能エネルギーで調達することを目指し、取り組みを加速させています。",51,エネルギー,0.3775
"また、2023年2月に企業が事業活動で消費する電力を 100％再生可能エネルギーで
100％再生可能エネルギーで調達することを目指し、取り組みを加速させています。",51,水の汚染,0.3078
"また、2023年2月に企業が事業活動で消費する電力を 100％再生可能エネルギーで
100％再生可能エネルギーで調達することを目指し、取り組みを加速させています。",51,生物および食料資源の汚染,0.3352
"また、2023年2月に企業が事業活動で消費する電力を 100％再生可能エネルギーで
100％再生可能エネルギーで調達することを目指し、取り組みを加速させています。",51,マイクロプラスチック,0.3228
"また、2023年2月に企業が事業活動で消費する電力を 100％再生可能エネルギーで
100％再生可能エネルギーで調達することを目指し、取り組みを加速させています。",51,水の消費と取水,0.3343
"また、2023年2月に企業が事業活動で消費する電力を 100％再生可能エネルギーで
100％再生可能エネルギーで調達することを目指し、取り組みを加速させています。",51,健康と安全,0.3543
"2023年度
※1 2021年度以降、GHG排出量（スコープ1‧2、エネルギー消費量）は限定的保証業務により第三者検証を実施しています。",51,空気の汚染,0.3017
"また、2023年2月に企業が事業活動で消費する電力を 100％再生可能エネルギーで
スクへの対応を強化しています。",52,エネルギー,0.3691
"また、2023年2月に企業が事業活動で消費する電力を 100％再生可能エネルギーで
スクへの対応を強化しています。",52,マイクロプラスチック,0.3002
"また、2023年2月に企業が事業活動で消費する電力を 100％再生可能エネルギーで
スクへの対応を強化しています。",52,健康と安全,0.3067
"会社の提供する設備や制度‧労働 条件を整えると同時に、社員一人ひとりが他者を尊重し、協力
しあうことで働きやすい環境を作っています。",62,労働条件,0.4117
"会社の提供する設備や制度‧労働 条件を整えると同時に、社員一人ひとりが他者を尊重し、協力
しあうことで働きやすい環境を作っています。",62,労働時間,0.3134
"会社の提供する設備や制度‧労働 条件を整えると同時に、社員一人ひとりが他者を尊重し、協力
しあうことで働きやすい環境を作っています。",62,健康と安全,0.3788
"会社の提供する設備や制度‧労働 条件を整えると同時に、社員一人ひとりが他者を尊重し、協力
しあうことで働きやすい環境を作っています。",62,平等と機会,0.3808
"会社の提供する設備や制度‧労働 条件を整えると同時に、社員一人ひとりが他者を尊重し、協力
しあうことで働きやすい環境を作っています。",62,児童労働,0.3026
"会社の提供する設備や制度‧労働 条件を整えると同時に、社員一人ひとりが他者を尊重し、協力
しあうことで働きやすい環境を作っています。",63,労働条件,0.4117
"会社の提供する設備や制度‧労働 条件を整えると同時に、社員一人ひとりが他者を尊重し、協力
しあうことで働きやすい環境を作っています。",63,労働時間,0.3134
"会社の提供する設備や制度‧労働 条件を整えると同時に、社員一人ひとりが他者を尊重し、協力
しあうことで働きやすい環境を作っています。",63,健康と安全,0.3788
"会社の提供する設備や制度‧労働 条件を整えると同時に、社員一人ひとりが他者を尊重し、協力
しあうことで働きやすい環境を作っています。",63,平等と機会,0.3808
"会社の提供する設備や制度‧労働 条件を整えると同時に、社員一人ひとりが他者を尊重し、協力
しあうことで働きやすい環境を作っています。",63,児童労働,0.3026
"会社の提供する設備や制度‧労働 条件を整えると同時に、社員一人ひとりが他者を尊重し、協力
しあうことで働きやすい環境を作っています。",64,労働条件,0.4117
"会社の提供する設備や制度‧労働 条件を整えると同時に、社員一人ひとりが他者を尊重し、協力
しあうことで働きやすい環境を作っています。",64,労働時間,0.3134
"会社の提供する設備や制度‧労働 条件を整えると同時に、社員一人ひとりが他者を尊重し、協力
しあうことで働きやすい環境を作っています。",64,健康と安全,0.3788
"会社の提供する設備や制度‧労働 条件を整えると同時に、社員一人ひとりが他者を尊重し、協力
しあうことで働きやすい環境を作っています。",64,平等と機会,0.3808
"会社の提供する設備や制度‧労働 条件を整えると同時に、社員一人ひとりが他者を尊重し、協力
しあうことで働きやすい環境を作っています。",64,児童労働,0.3026
"会社の提供する設備や制度‧労働 条件を整えると同時に、社員一人ひとりが他者を尊重し、協力
しあうことで働きやすい環境を作っています。",65,労働条件,0.4117
"会社の提供する設備や制度‧労働 条件を整えると同時に、社員一人ひとりが他者を尊重し、協力
しあうことで働きやすい環境を作っています。",65,労働時間,0.3134
"会社の提供する設備や制度‧労働 条件を整えると同時に、社員一人ひとりが他者を尊重し、協力
しあうことで働きやすい環境を作っています。",65,健康と安全,0.3788
"会社の提供する設備や制度‧労働 条件を整えると同時に、社員一人ひとりが他者を尊重し、協力
しあうことで働きやすい環境を作っています。",65,平等と機会,0.3808
"会社の提供する設備や制度‧労働 条件を整えると同時に、社員一人ひとりが他者を尊重し、協力
しあうことで働きやすい環境を作っています。",65,児童労働,0.3026
"また、HOYA株式会社において、取締役7名の内、2名が女性の社外取締役（女性比率28.6％）であり、執行
役含む役員では 3名（37.5%）が女性です。",66,水の汚染,0.3237
"また、HOYA株式会社において、取締役7名の内、2名が女性の社外取締役（女性比率28.6％）であり、執行
役含む役員では 3名（37.5%）が女性です。",66,水の消費と取水,0.3504
"また、HOYA株式会社において、取締役7名の内、2名が女性の社外取締役（女性比率28.6％）であり、執行
役含む役員では 3名（37.5%）が女性です。",66,健康と安全,0.3287
"また、HOYA株式会社において、取締役7名の内、2名が女性の社外取締役（女性比率28.6％）であり、執行
役含む役員では 3名（37.5%）が女性です。",66,平等と機会,0.3441
"事例として、アイケアカンパニーの人材育成やHOYA Electronics SingaporeのEICC（電子業界CSRアライアンス）行
動規範セミナーへの参加を会社ウェブサイトで紹介しています。",66,健康と安全,0.3025
"また、HOYA株式会社において、取締役7名の内、2名が女性の社外取締役（女性比率28.6％）であり、執行
役含む役員では 3名（37.5%）が女性です。",67,水の汚染,0.3237
"また、HOYA株式会社において、取締役7名の内、2名が女性の社外取締役（女性比率28.6％）であり、執行
役含む役員では 3名（37.5%）が女性です。",67,水の消費と取水,0.3504
"また、HOYA株式会社において、取締役7名の内、2名が女性の社外取締役（女性比率28.6％）であり、執行
役含む役員では 3名（37.5%）が女性です。",67,健康と安全,0.3287
"また、HOYA株式会社において、取締役7名の内、2名が女性の社外取締役（女性比率28.6％）であり、執行
役含む役員では 3名（37.5%）が女性です。",67,平等と機会,0.3441
"事例として、アイケアカンパニーの人材育成やHOYA Electronics SingaporeのEICC（電子業界CSRアライアンス）行
動規範セミナーへの参加を会社ウェブサイトで紹介しています。",67,健康と安全,0.3025
"また、HOYA株式会社において、取締役7名の内、2名が女性の社外取締役（女性比率28.6％）であり、執行
役含む役員では 3名（37.5%）が女性です。",68,水の汚染,0.3237
"また、HOYA株式会社において、取締役7名の内、2名が女性の社外取締役（女性比率28.6％）であり、執行
役含む役員では 3名（37.5%）が女性です。",68,水の消費と取水,0.3504
"また、HOYA株式会社において、取締役7名の内、2名が女性の社外取締役（女性比率28.6％）であり、執行
役含む役員では 3名（37.5%）が女性です。",68,健康と安全,0.3287
"また、HOYA株式会社において、取締役7名の内、2名が女性の社外取締役（女性比率28.6％）であり、執行
役含む役員では 3名（37.5%）が女性です。",68,平等と機会,0.3441
"また、HOYA株式会社において、取締役7名の内、2名が女性の社外取締役（女性比率28.6％）であり、執行
役含む役員では 3名（37.5%）が女性です。",69,水の汚染,0.3237
"また、HOYA株式会社において、取締役7名の内、2名が女性の社外取締役（女性比率28.6％）であり、執行
役含む役員では 3名（37.5%）が女性です。",69,水の消費と取水,0.3504
"また、HOYA株式会社において、取締役7名の内、2名が女性の社外取締役（女性比率28.6％）であり、執行
役含む役員では 3名（37.5%）が女性です。",69,健康と安全,0.3287
"また、HOYA株式会社において、取締役7名の内、2名が女性の社外取締役（女性比率28.6％）であり、執行
役含む役員では 3名（37.5%）が女性です。",69,平等と機会,0.3441
"事例として、アイケアカンパニーの人材育成やHOYA Electronics SingaporeのEICC（電子業界CSRアライアンス）行
動規範セミナーへの参加を会社ウェブサイトで紹介しています。",69,健康と安全,0.3025
"また、2022年3月より自社ブランドのコンタクトレンズhoyaOne シリーズの
製造販売を開始し、現在では6製品を展開しています。",81,健康と安全,0.3074
"30年以上にわたる眼内レンズ事業における知見に基づき、数百万人に及ぶ白
内障患者の視力とQuality of Lifeの改善に貢献しています。",81,生物および食料資源の汚染,0.373
"30年以上にわたる眼内レンズ事業における知見に基づき、数百万人に及ぶ白
内障患者の視力とQuality of Lifeの改善に貢献しています。",81,水の消費と取水,0.3549
"30年以上にわたる眼内レンズ事業における知見に基づき、数百万人に及ぶ白
内障患者の視力とQuality of Lifeの改善に貢献しています。",81,健康と安全,0.407
"また、2022年3月より自社ブランドのコンタクトレンズhoyaOne シリーズの
製造販売を開始し、現在では6製品を展開しています。",82,健康と安全,0.3074
"30年以上にわたる眼内レンズ事業における知見に基づき、数百万人に及ぶ白
内障患者の視力とQuality of Lifeの改善に貢献しています。",82,生物および食料資源の汚染,0.373
"30年以上にわたる眼内レンズ事業における知見に基づき、数百万人に及ぶ白
内障患者の視力とQuality of Lifeの改善に貢献しています。",82,水の消費と取水,0.3549
"30年以上にわたる眼内レンズ事業における知見に基づき、数百万人に及ぶ白
内障患者の視力とQuality of Lifeの改善に貢献しています。",82,健康と安全,0.407
"また、2022年3月より自社ブランドのコンタクトレンズhoyaOne シリーズの
製造販売を開始し、現在では6製品を展開しています。",83,健康と安全,0.3074
"30年以上にわたる眼内レンズ事業における知見に基づき、数百万人に及ぶ白
内障患者の視力とQuality of Lifeの改善に貢献しています。",83,生物および食料資源の汚染,0.373
"30年以上にわたる眼内レンズ事業における知見に基づき、数百万人に及ぶ白
内障患者の視力とQuality of Lifeの改善に貢献しています。",83,水の消費と取水,0.3549
"30年以上にわたる眼内レンズ事業における知見に基づき、数百万人に及ぶ白
内障患者の視力とQuality of Lifeの改善に貢献しています。",83,健康と安全,0.407
"また、2022年3月より自社ブランドのコンタクトレンズhoyaOne シリーズの
製造販売を開始し、現在では6製品を展開しています。",84,健康と安全,0.3074
"30年以上にわたる眼内レンズ事業における知見に基づき、数百万人に及ぶ白
内障患者の視力とQuality of Lifeの改善に貢献しています。",84,生物および食料資源の汚染,0.373
"30年以上にわたる眼内レンズ事業における知見に基づき、数百万人に及ぶ白
内障患者の視力とQuality of Lifeの改善に貢献しています。",84,水の消費と取水,0.3549
"30年以上にわたる眼内レンズ事業における知見に基づき、数百万人に及ぶ白
内障患者の視力とQuality of Lifeの改善に貢献しています。",84,健康と安全,0.407
"また、2022年3月より自社ブランドのコンタクトレンズhoyaOne シリーズの
製造販売を開始し、現在では6製品を展開しています。",85,健康と安全,0.3074
"ズhoyaOne シリーズの
製造販売を開始し、現在では6製品を展開しています。",86,健康と安全,0.3235
"数百万人に及ぶ白
内障患者の視力とQuality of Lifeの改善に貢献しています。",86,生物および食料資源の汚染,0.4079
"数百万人に及ぶ白
内障患者の視力とQuality of Lifeの改善に貢献しています。",86,水の消費と取水,0.3009
"数百万人に及ぶ白
内障患者の視力とQuality of Lifeの改善に貢献しています。",86,生物多様性の損失,0.3357
"数百万人に及ぶ白
内障患者の視力とQuality of Lifeの改善に貢献しています。",86,健康と安全,0.3967
"また、2022年3月より自社ブランドのコンタクトレンズhoyaOne シリーズの
製造販売を開始し、現在では6製品を展開しています。",87,健康と安全,0.3074
"30年以上にわたる眼内レンズ事業における知見に基づき、数百万人に及ぶ白
内障患者の視力とQuality of Lifeの改善に貢献しています。",87,生物および食料資源の汚染,0.373
"30年以上にわたる眼内レンズ事業における知見に基づき、数百万人に及ぶ白
内障患者の視力とQuality of Lifeの改善に貢献しています。",87,水の消費と取水,0.3549
"30年以上にわたる眼内レンズ事業における知見に基づき、数百万人に及ぶ白
内障患者の視力とQuality of Lifeの改善に貢献しています。",87,健康と安全,0.407
